timestamp, x, y, z, bat
2020-05-04 04:47:48:398, -17, 225, 72, 3.70
2020-05-04 04:47:48:438, -18, 228, 73, 3.69
2020-05-04 04:47:48:478, -15, 229, 71, 3.70
2020-05-04 04:47:48:518, -17, 228, 70, 3.71
2020-05-04 04:47:48:557, -18, 227, 71, 3.70
2020-05-04 04:47:48:597, -16, 228, 72, 3.70
2020-05-04 04:47:48:637, -18, 227, 72, 3.71
2020-05-04 04:47:48:676, -20, 232, 70, 3.71
2020-05-04 04:47:48:716, -21, 232, 70, 3.70
2020-05-04 04:47:48:756, -18, 230, 71, 3.69
2020-05-04 04:47:48:796, -19, 230, 70, 3.72
2020-05-04 04:47:48:835, -20, 229, 67, 3.69
2020-05-04 04:47:48:875, -18, 230, 70, 3.71
2020-05-04 04:47:48:915, -19, 230, 70, 3.71
2020-05-04 04:47:48:955, -20, 230, 71, 3.70
2020-05-04 04:47:48:994, -17, 230, 72, 3.70
2020-05-04 04:47:49:034, -19, 230, 71, 3.69
2020-05-04 04:47:49:074, -19, 229, 72, 3.70
2020-05-04 04:47:49:113, -20, 228, 71, 3.71
2020-05-04 04:47:49:153, -20, 229, 71, 3.70
2020-05-04 04:47:49:193, -19, 232, 70, 3.69
2020-05-04 04:47:49:233, -17, 231, 69, 3.71
2020-05-04 04:47:49:272, -19, 229, 70, 3.70
2020-05-04 04:47:49:312, -21, 229, 71, 3.71
2020-05-04 04:47:49:352, -21, 230, 72, 3.70
2020-05-04 04:47:49:392, -22, 227, 74, 3.71
2020-05-04 04:47:49:431, -22, 229, 72, 3.70
2020-05-04 04:47:49:471, -22, 233, 70, 3.70
2020-05-04 04:47:49:511, -21, 229, 69, 3.71
2020-05-04 04:47:49:550, -21, 229, 70, 3.69
2020-05-04 04:47:49:590, -20, 230, 71, 3.70
2020-05-04 04:47:49:630, -19, 231, 70, 3.70
2020-05-04 04:47:49:670, -17, 230, 71, 3.70
2020-05-04 04:47:49:709, -16, 229, 72, 3.70
2020-05-04 04:47:49:749, -20, 228, 70, 3.69
2020-05-04 04:47:49:789, -19, 223, 73, 3.71
2020-05-04 04:47:49:829, -17, 224, 74, 3.71
2020-05-04 04:47:49:868, -20, 227, 71, 3.70
2020-05-04 04:47:49:908, -20, 229, 74, 3.70
2020-05-04 04:47:49:948, -20, 229, 72, 3.71
2020-05-04 04:47:49:987, -21, 228, 72, 3.70
2020-05-04 04:47:50:027, -19, 229, 73, 3.71
2020-05-04 04:47:50:067, -17, 227, 73, 3.70
2020-05-04 04:47:50:107, -18, 228, 74, 3.72
2020-05-04 04:47:50:146, -19, 226, 75, 3.71
2020-05-04 04:47:50:186, -20, 228, 75, 3.70
2020-05-04 04:47:50:226, -21, 229, 77, 3.71
2020-05-04 04:47:50:266, -21, 229, 76, 3.69
2020-05-04 04:47:50:305, -19, 230, 75, 3.71
2020-05-04 04:47:50:345, -20, 230, 74, 3.69
2020-05-04 04:47:50:385, -21, 226, 76, 3.69
2020-05-04 04:47:50:424, -20, 227, 78, 3.70
2020-05-04 04:47:50:464, -20, 222, 76, 3.70
2020-05-04 04:47:50:504, -20, 225, 76, 3.69
2020-05-04 04:47:50:543, -21, 226, 75, 3.71
2020-05-04 04:47:50:583, -21, 229, 74, 3.69
2020-05-04 04:47:50:623, -21, 226, 74, 3.71
2020-05-04 04:47:50:662, -20, 226, 73, 3.69
2020-05-04 04:47:50:702, -23, 226, 75, 3.70
2020-05-04 04:47:50:742, -19, 227, 70, 3.70
2020-05-04 04:47:50:781, -20, 226, 72, 3.70
2020-05-04 04:47:50:821, -22, 228, 73, 3.70
2020-05-04 04:47:50:860, -24, 228, 74, 3.70
2020-05-04 04:47:50:900, -25, 228, 72, 3.71
2020-05-04 04:47:50:939, -25, 225, 72, 3.70
2020-05-04 04:47:50:979, -24, 225, 71, 3.68
2020-05-04 04:47:51:018, -23, 228, 71, 3.71
2020-05-04 04:47:51:058, -24, 230, 70, 3.70
2020-05-04 04:47:51:098, -23, 227, 72, 3.70
2020-05-04 04:47:51:137, -22, 229, 68, 3.71
2020-05-04 04:47:51:177, -23, 231, 71, 3.70
2020-05-04 04:47:51:217, -22, 231, 71, 3.70
2020-05-04 04:47:51:257, -22, 231, 72, 3.71
2020-05-04 04:47:51:296, -24, 230, 74, 3.70
2020-05-04 04:47:51:336, -24, 228, 69, 3.69
2020-05-04 04:47:51:376, -25, 227, 69, 3.69
2020-05-04 04:47:51:416, -24, 229, 72, 3.71
2020-05-04 04:47:51:455, -25, 230, 72, 3.71
2020-05-04 04:47:51:495, -25, 227, 73, 3.70
2020-05-04 04:47:51:535, -23, 225, 72, 3.71
2020-05-04 04:47:51:574, -23, 227, 70, 3.71
2020-05-04 04:47:51:614, -22, 225, 71, 3.71
2020-05-04 04:47:51:654, -20, 228, 73, 3.70
2020-05-04 04:47:51:694, -23, 225, 72, 3.71
2020-05-04 04:47:51:733, -21, 225, 73, 3.69
2020-05-04 04:47:51:773, -22, 226, 73, 3.70
2020-05-04 04:47:51:813, -21, 226, 73, 3.71
2020-05-04 04:47:51:853, -22, 229, 74, 3.71
2020-05-04 04:47:51:892, -21, 230, 73, 3.69
2020-05-04 04:47:51:932, -22, 227, 75, 3.69
2020-05-04 04:47:51:972, -23, 226, 73, 3.70
2020-05-04 04:47:52:011, -21, 226, 72, 3.70
2020-05-04 04:47:52:051, -21, 224, 71, 3.69
2020-05-04 04:47:52:091, -18, 226, 75, 3.70
2020-05-04 04:47:52:131, -21, 228, 76, 3.70
2020-05-04 04:47:52:170, -21, 229, 75, 3.69
2020-05-04 04:47:52:210, -23, 229, 74, 3.70
2020-05-04 04:47:52:250, -21, 229, 73, 3.70
2020-05-04 04:47:52:290, -20, 230, 73, 3.72
2020-05-04 04:47:52:329, -21, 228, 72, 3.70
2020-05-04 04:47:52:369, -23, 227, 73, 3.69
2020-05-04 04:47:52:409, -23, 231, 72, 3.70
2020-05-04 04:47:52:448, -22, 231, 70, 3.72
